variant,iteration,model_id,suite_name,task_id,trial_trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,analysis_failure_classes_json,analysis_json,benchloop_model_id,iteration_id,model_alias,policy_enabled_features,policy_json,policy_version,run_id,run_json,sampler_temp,sampler_top_k,sampler_top_p,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_prompt_eval_tok_per_sec,trial_speed_metrics_total_latency_ms,trial_speed_metrics_ttft_ms
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-001,1,true,true,49.83,535.0562910025474,8,15,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,14.951697857827659,0,535.0562910025474,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-001,2,false,true,53.62,433.9071660069749,8,15,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,18.437123483393687,0,433.9071660069749,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-001,3,false,true,53.84,428.83358302060515,8,15,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,18.655255364213406,0,428.83358302060515,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-002,1,true,true,59.77,888.0000409844797,23,16,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,25.900899705478718,0,888.0000409844797,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-002,2,false,true,60.47,854.2786659963895,23,16,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,26.923299053914576,0,854.2786659963895,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-002,3,false,true,59.38,1105.045959004201,28,16,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,25.33831264831,0,1105.045959004201,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-003,1,true,true,55.9,1147.8657920088153,24,19,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,20.908367656813738,0,1147.8657920088153,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-003,2,false,true,58.44,2659.992124972632,64,19,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,24.06022160710663,0,2659.992124972632,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-short-003,3,false,true,56.98,1081.6286669869442,24,19,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,22.188761016159063,0,1081.6286669869442,0
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,speed,speed-medium-001,1,true,true,60.34,5987.94075002661,160,20,,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,1,64,0.95,26.72037127276,0,5987.94075002661,0
