run_id,sweep,iteration,candidate,model_id,model,suite,task_id,score,passed,error,latency_ms,tokens_generated,tokens_prompt,run_json,policy_json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-01-weather-math,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-02-stock-portfolio,75,false,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-03-string-roundtrip,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-04-multi-step-calc,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-05-refuse-unknown-tool,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-06-weather-fahrenheit,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-07-stocks-compare,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,agent,agent-08-chained-tools,100,true,,0,0,0,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,coding,coding-csv-parser,100,true,,15.237082989187911,40,44,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
extra3-i01,gemma4-fastify-optimization-extra3,1,promoted-extra5-control,gemma-4-E2B-it-qat-UD-Q4_K_XL,E2B,coding,coding-fibonacci-memo,100,true,,9.484707989031449,43,31,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-gemma4-harness-optimized.run.json,results/benchloop/gemma4-fastify-optimization-extra3/iteration-01/policy.json
